,Away,Home,is_B2B_First_Away,is_B2B_First_Home,is_B2B_Second_Away,is_B2B_Second_Home,Away_Prob_Naive,Home_Prob_Naive,Home_Prob_Adjusted,Away_Prob_Adjusted,Home_Odds,Away_Odds,Home_Prob_Odds,Away_Prob_Odds,Home_Prob_Diff,Away_Prob_Diff,Home_Bet_Size,Away_Bet_Size,Home_Bet,Away_Bet,Potential_Payoff,Date,Won_Bet,Capital
25,Indiana Pacers,Orlando Magic,0,0,1,0,0.3157855443584243,0.21302434696954364,0.4657988807771631,0.5342011192228369,-116.0,-102.0,0.5370370370370371,0.504950495049505,-0.07123815625987401,0.029250624173331907,0.0,0.005908626083013041,0.0,501.8514770130462,492.0112519735746,2022-02-28,0,81250.87396995052
26,Toronto Raptors,Brooklyn Nets,1,1,0,0,0.4863545543989713,0.31525603152243603,0.3795039807586896,0.6204960192413104,140.0,-166.0,0.4166666666666667,0.6240601503759399,-0.03716268590797711,-0.0035641311346295,0.0,0.0,0.0,0.0,0.0,2022-02-28,-1,81250.87396995052
27,Chicago Bulls,Miami Heat,0,0,0,0,0.4575750702760735,0.5487911424481128,0.6849417425505153,0.3150582574494847,-184.0,154.0,0.6478873239436621,0.3937007874015748,0.03705441860685321,-0.07864252995209015,0.010523454884346344,0.0,893.8137737591055,0.0,485.7683553038617,2022-02-28,1,81736.64232525439
28,Charlotte Hornets,Milwaukee Bucks,0,0,1,0,0.4942985433830139,0.5605922479465376,0.7134148004831488,0.28658519951685124,-550.0,410.0,0.8461538461538461,0.19607843137254904,-0.1327390456706974,0.0905067681443022,0.0,0.011258158964291252,0.0,956.2161533491576,3920.4862287315455,2022-02-28,0,80780.42617190523
29,Sacramento Kings,Oklahoma City Thunder,0,0,0,0,0.3650624557502713,0.2097350563033009,0.3663470979573495,0.6336529020426505,180.0,-215.0,0.35714285714285715,0.6825396825396826,0.009204240814492335,-0.0488867804970321,0.001431770793365477,0.0,121.6080146720328,0.0,218.89442640965905,2022-02-28,0,80658.8181572332
30,San Antonio Spurs,Memphis Grizzlies,0,0,0,0,0.4712835763893399,0.5873139344129717,0.7132587136019524,0.28674128639804763,-390.0,310.0,0.7959183673469387,0.24390243902439024,-0.0826596537449863,0.0428388473736574,0.0,0.005665783039741785,0.0,481.22550775457603,1491.7990740391851,2022-02-28,0,80177.59264947863
31,Detroit Pistons,Washington Wizards,0,0,0,0,0.21751920186274296,0.2499903453684097,0.6324962942461304,0.3675037057538696,-158.0,134.0,0.6124031007751938,0.4273504273504273,0.020093193470936632,-0.05984672159655774,0.005184043915501646,0.0,415.6441613340992,0.0,263.0659248949995,2022-03-01,1,80440.65857437362
32,Atlanta Hawks,Boston Celtics,0,0,0,0,0.4570608311558718,0.6415035327540567,0.788876951589138,0.21112304841086205,-245.0,200.0,0.7101449275362319,0.3333333333333333,0.07873202405290602,-0.1222102849224712,0.02716254829825259,0.0,2177.827732779085,0.0,888.9092786853407,2022-03-01,1,81329.56785305896
33,Brooklyn Nets,Toronto Raptors,0,0,1,1,0.2954513233559248,0.5010554076607611,0.8182949631915586,0.1817050368084414,-335.0,270.0,0.7701149425287356,0.2702702702702703,0.048180020662823016,-0.08856523346182887,0.020958308988327984,0.0,1680.3867606880676,0.0,501.60798826509483,2022-03-01,1,81831.17584132406
34,Los Angeles Clippers,Houston Rockets,0,1,0,0,0.3880329704214714,0.16652126111835452,0.2779310636850985,0.7220689363149015,220.0,-270.0,0.3125,0.7297297297297297,-0.03456893631490149,-0.00766079341482817,0.0,0.0,0.0,0.0,0.0,2022-03-01,-1,81831.17584132406
