,Player,VORP_projection
244,giannis antetokounmpo,[3.95889452]
245,jordan nwora,[0.06384572]
246,thanasis antetokounmpo,[0.10664846]
247,bobby portis,[1.34792774]
248,semi ojeleye,[-0.74940622]
249,sandro mamukelashvili,[-0.74940622]
250,dangelo russell,[2.07557422]
251,patrick beverley,[2.37519336]
252,jaylen nowell,[0.74868947]
253,anthony edwards,[1.56194141]
254,malik beasley,[0.10664846]
255,leandro bolmaro,[0.02104299]
256,jaden mcdaniels,[0.19225393]
257,taurean prince,[0.02104299]
258,jake layman,[0.10664846]
259,jarred vanderbilt,[2.20398242]
260,josh okogie,[1.47633595]
261,karl-anthony towns,[2.07557422]
262,naz reid,[0.06384572]
263,nathan knight,[0.32066213]
264,devonte graham,[1.26232228]
265,nickeil alexander-walker,[0.14945119]
266,tomas satoransky,[0.10664846]
267,brandon ingram,[1.00550587]
268,jose alvarado,[1.00550587]
269,josh hart,[1.47633595]
270,garrett temple,[0.02104299]
271,trey murphy,[-0.19297068]
272,herb jones,[1.34792774]
273,jaxson hayes,[0.27785939]
274,naji marshall,[0.57747853]
275,jonas valanciunas,[1.94716602]
276,gary clark,[-0.36418162]
277,willy hernangomez,[0.32066213]
278,kemba walker,[2.03277149]
279,immanuel quickley,[1.86156055]
280,quentin grimes,[0.70588673]
281,rj barrett,[0.5346758]
282,alec burks,[1.60474415]
283,derrick rose,[2.07557422]
284,evan fournier,[0.87709767]
285,cam reddish,[-0.06456248]
286,luka samanic,[0.27785939]
287,julius randle,[0.27785939]
288,taj gibson,[0.57747853]
289,obi toppin,[0.23505666]
290,nerlens noel,[0.96270314]
291,mitchell robinson,[1.43353321]
292,jericho sims,[-0.19297068]
293,shai gilgeous-alexander,[1.47633595]
294,tre mann,[-0.40698435]
295,ty jerome,[0.49187306]
296,josh giddey,[0.06384572]
297,aaron wiggins,[0.62028127]
298,theo maledon,[-1.26303903]
299,luguentz dort,[0.663084]
300,kenrich williams,[1.60474415]
301,darius bazley,[-1.51985543]
302,mike muscala,[1.51913868]
303,derrick favors,[1.09111134]
304,jeremiah robinson-earl,[-0.49258982]
305,mamadi diakite,[0.36346486]
306,aleksej pokusevski,[-1.64826364]
307,cole anthony,[0.14945119]
308,jalen suggs,[0.5346758]
309,gary harris,[0.02104299]
310,rj hampton,[-0.83501169]
311,ignas brazdeikis,[0.10664846]
312,franz wagner,[1.00550587]
313,terrence ross,[-0.02175974]
314,admiral schofield,[0.14945119]
315,wendell carter,[1.21951954]
316,chuma okeke,[0.32066213]
317,mo bamba,[-0.15016795]
318,robin lopez,[-0.70660349]
319,moritz wagner,[0.74868947]
320,tyrese maxey,[0.62028127]
321,matisse thybulle,[1.98996875]
322,myles powell,[0.62028127]
323,seth curry,[1.00550587]
324,shake milton,[0.5346758]
325,isaiah joe,[0.96270314]
326,danny green,[2.03277149]
327,furkan korkmaz,[0.9199004]
328,charles brown,[0.4062676]
329,tobias harris,[0.663084]
330,georges niang,[0.70588673]
331,paul reed,[0.10664846]
332,joel embiid,[3.83048631]
333,andre drummond,[1.64754688]
334,charles bassey,[0.36346486]
335,chris paul,[2.24678516]
336,cameron payne,[1.69034961]
337,elfrid payton,[0.02104299]
338,devin booker,[2.07557422]
339,landry shamet,[0.7914922]
340,mikal bridges,[1.94716602]
341,cameron johnson,[1.60474415]
342,ishmail wainright,[0.19225393]
343,jae crowder,[1.81875782]
344,jalen smith,[0.19225393]
345,deandre ayton,[1.90436328]
346,javale mcgee,[1.17671681]
347,bismack biyombo,[-0.79220896]
348,anfernee simons,[0.663084]
349,dennis smith,[0.74868947]
350,cj mccollum,[1.86156055]
351,ben mclemore,[-0.10736521]
352,tony snell,[-0.53539255]
353,norman powell,[0.57747853]
354,nassir little,[0.4062676]
355,cj elleby,[0.32066213]
356,larry nance,[0.87709767]
357,robert covington,[1.64754688]
358,jusuf nurkic,[2.20398242]
359,trendon watford,[-1.00622263]
360,cody zeller,[0.62028127]
361,deaaron fox,[0.663084]
362,buddy hield,[1.30512501]
363,jahmius ramsey,[0.23505666]
364,tyrese haliburton,[1.47633595]
365,terence davis,[1.39073048]
366,maurice harkless,[0.02104299]
367,harrison barnes,[0.74868947]
368,davion mitchell,[0.19225393]
369,neemias queta,[0.02104299]
370,chimezie metu,[-0.36418162]
371,marvin bagley,[0.663084]
372,tristan thompson,[-0.06456248]
373,richaun holmes,[1.09111134]
374,damian jones,[-0.40698435]
375,alex len,[-0.10736521]
376,dejounte murray,[2.11837695]
377,tre jones,[-0.23577341]
378,joshua primo,[-0.74940622]
379,derrick white,[2.50360156]
380,lonnie walker,[-0.27857615]
381,keldon johnson,[0.663084]
382,doug mcdermott,[-0.49258982]
383,devin vassell,[0.74868947]
384,keita bates-diop,[0.23505666]
385,devontae cacok,[0.44907033]
386,jakob poeltl,[2.33239062]
387,jock landale,[-0.23577341]
388,drew eubanks,[-0.27857615]
389,fred vanvleet,[3.31685351]
390,dalano banton,[-0.57819529]
391,malachi flynn,[1.04830861]
392,gary trent,[0.663084]
393,scottie barnes,[0.87709767]
394,og anunoby,[1.13391407]
395,justin champagnie,[0.74868947]
396,yuta watanabe,[0.06384572]
397,pascal siakam,[1.43353321]
398,precious achiuwa,[0.44907033]
399,chris boucher,[1.30512501]
400,khem birch,[0.74868947]
401,mike conley,[2.88882617]
402,jordan clarkson,[1.34792774]
403,trent forrest,[-0.06456248]
404,donovan mitchell,[2.24678516]
405,joe ingles,[0.9199004]
406,jared butler,[0.49187306]
407,bojan bogdanovic,[0.14945119]
408,rudy gay,[1.64754688]
409,elijah hughes,[0.32066213]
410,royce oneale,[1.73315235]
411,eric paschall,[-0.15016795]
412,danuel house,[-0.66380075]
