,Player,Age,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP_Prior_Year
358,Mason Jones,22,72.88888888888889,760.7777777777777,15.566666666666668,0.5880000000000001,0.44,0.5993333333333334,5.333333333333333,12.333333333333334,8.633333333333335,18.2,1.2333333333333334,0.19999999999999998,13.500000000000002,22.3,0.0,0.34166666666666673,0.45555555555555555,0.10166666666666667,1.4805555555555552,-2.7333333333333325,-1.366666666666667,-0.22777777777777777
359,Mason Plumlee,30,63.77777777777777,1707.1944444444443,18.7,0.638,0.018000000000000002,0.444,10.6,28.1,19.3,21.0,1.4,2.9,18.7,16.3,3.4166666666666665,2.3916666666666666,5.808333333333333,0.16399999999999998,0.22777777777777777,2.2777777777777777,2.5055555555555555,1.8222222222222222
360,Matisse Thybulle,23,74.02777777777777,1478.2777777777776,10.1,0.508,0.588,0.07400000000000001,2.6,7.8,5.3,6.3,3.9,4.9,11.3,9.4,0.11388888888888889,3.075,3.1888888888888887,0.102,-2.9611111111111112,5.125,2.1638888888888888,1.4805555555555556
361,Matt Thomas,26,102.5,742.5555555555555,9.266666666666666,0.5220000000000001,0.6303333333333333,0.11033333333333334,2.433333333333333,12.433333333333332,7.466666666666666,8.866666666666667,0.6,0.0,9.466666666666667,20.0,-0.11388888888888889,0.5694444444444444,0.45555555555555555,0.031,-9.11111111111111,-6.833333333333333,-15.944444444444443,-0.45555555555555555
362,Matthew Dellavedova,30,14.805555555555555,255.1111111111111,7.3,0.312,0.446,0.071,2.9,9.2,6.0,35.3,0.9,0.4,9.4,12.4,-0.11388888888888889,0.11388888888888889,0.0,0.005,-5.125,-2.1638888888888888,-7.288888888888889,-0.3416666666666666
363,Maurice Harkless,27,84.27777777777777,1758.4444444444443,7.166666666666667,0.531,0.6116666666666667,0.22833333333333336,1.8999999999999997,10.800000000000002,6.3,7.3,1.6000000000000003,2.5999999999999996,12.866666666666667,10.066666666666668,0.34166666666666673,0.9111111111111111,1.3666666666666665,0.04,-12.641666666666666,0.911111111111111,-11.730555555555556,-0.6833333333333332
364,Max Strus,24,44.416666666666664,577.4166666666666,12.1,0.597,0.7909999999999999,0.128,1.1,8.0,4.6,7.3,1.1,0.4,3.9,18.3,0.6833333333333332,0.3416666666666666,1.025,0.08800000000000001,-0.5694444444444444,-1.936111111111111,-2.5055555555555555,0.0
365,Maxi Kleber,29,56.94444444444444,1527.25,10.6,0.606,0.7709999999999999,0.135,3.9,17.4,10.7,6.6,0.9,2.4,9.3,10.6,1.8222222222222222,1.4805555555555556,3.3027777777777776,0.10300000000000001,-0.5694444444444444,0.5694444444444444,0.0,0.7972222222222222
366,Meyers Leonard,28,3.4166666666666665,33.02777777777778,6.6,0.635,1.0,0.28600000000000003,0.0,27.1,13.8,9.7,0.0,0.0,20.2,15.4,0.0,0.0,0.0,0.038,-3.758333333333333,-0.45555555555555555,-4.213888888888889,0.0
367,Mfiondu Kabengele,23,88.83333333333333,637.7777777777777,8.200000000000001,0.4713333333333333,0.5619999999999999,0.21966666666666668,4.133333333333334,18.7,11.4,8.433333333333332,1.3666666666666665,3.9,13.533333333333333,17.933333333333334,-0.45555555555555555,0.6833333333333335,0.45555555555555555,0.009666666666666669,-17.538888888888888,-0.22777777777777786,-17.880555555555553,-0.45555555555555555
368,Michael Carter-Williams,29,35.30555555555556,911.1111111111111,9.5,0.449,0.226,0.29600000000000004,4.9,13.4,9.0,24.3,1.5,1.9,18.4,20.2,-1.2527777777777778,0.6833333333333332,-0.5694444444444444,-0.027999999999999997,-5.238888888888888,-0.22777777777777777,-5.466666666666666,-0.6833333333333332
